series,operator,circle
7188.0,,
7189.0,,
7190.0,,
7191.0,,
7192.0,,
7193.0,,
7194.0,,
7195.0,,
7196.0,,
7197.0,,
7198.0,,
7199.0,,
7200.0,,
7201.0,,
7202.0,,
7203.0,,
7204.0,,
7205.0,,
7206.0,,
7207.0,AT,HR
7208.0,,
7209.0,AT,MU
7210.0,,
7211.0,,
7212.0,,
7213.0,,
7214.0,,
7215.0,,
7216.0,,
7217.0,,
7218.0,RJ,DL
7219.0,,
7220.0,AT,MH
7221.0,,
7222.0,,
7223.0,,
7224.0,,
7225.0,,
7226.0,,
7227.0,,
7228.0,,
7229.0,,
7230.0,VI,RJ
7231.0,,
7232.0,,
7233.0,,
7234.0,,
7235.0,,
7236.0,,
7237.0,,
7238.0,VI,UE
7239.0,,
7240.0,,
7241.0,,
7242.0,,
7243.0,,
7244.0,,
7245.0,,
7246.0,,
7247.0,,
7248.0,,
7249.0,,
7250.0,VI,UW
7251.0,AT,BR
7252.0,VI,UW
7253.0,VI,UW
7254.0,VI,UW
7255.0,VI,BR
7256.0,VI,BR
7257.0,VI,BR
7258.0,VI,BR
7259.0,AT,BR
7260.0,AT,KA
7261.0,AT,BR
7262.0,AT,BR
7263.0,VI,MH
7264.0,VI,MH
7265.0,VI,MH
7266.0,,
7267.0,,
7268.0,,
7269.0,,
7270.0,,
7271.0,,
7272.0,,
7273.0,,
7274.0,,
7275.0,,
7276.0,,
7277.0,,
7278.0,,
7279.0,,
7280.0,,
7281.0,VI,BR
7282.0,VI,BR
7283.0,VI,BR
7284.0,VI,BR
7285.0,,
7286.0,,
7287.0,,
7288.0,,
7289.0,,
7290.0,VI,DL
7291.0,VI,DL
7292.0,VI,DL
7293.0,VI,DL
7294.0,,
7295.0,,
7296.0,,
7297.0,,
7298.0,,
7299.0,,
7300.0,AT,UW
7301.0,,
7302.0,AT,UW
7303.0,RJ,DL
7304.0,,
7305.0,AT,TN
7306.0,RJ,KL
7307.0,RJ,UE
7308.0,,
7309.0,VI,UE
7310.0,AT,UW
7311.0,VI,UE
7312.0,,
7313.0,,
7314.0,,
7315.0,,
7316.0,,
7317.0,,
7318.0,,
7319.0,AT,BR
7320.0,,
7321.0,,
7322.0,VI,BR
7323.0,VI,BR
7324.0,VI,BR
7325.0,AT,OR
7326.0,,
7327.0,,
7328.0,,
7329.0,,
7330.0,,
7331.0,,
7332.0,,
7333.0,,
7334.0,,
7335.0,,
7336.0,,
7337.0,AT,KA
7338.0,AT,KA
7339.0,,
7340.0,,
7341.0,,
7342.0,,
7343.0,,
7344.0,,
7345.0,,
7346.0,,
7347.0,AT,PB
7348.0,AT,KA
7349.0,AT,KA
7350.0,VI,MH
7351.0,VI,UW
7352.0,VI,BR
7353.0,VI,KA
7354.0,VI,MP
7355.0,RJ,UE
7356.0,AT,KL
7357.0,AT,RJ
7358.0,AT,TN
7359.0,VI,GJ
7360.0,VI,BR
7361.0,VI,BR
7362.0,VI,BR
7363.0,,
7364.0,,
7365.0,,
7366.0,,
7367.0,,
7368.0,,
7369.0,,
7370.0,VI,BR
7371.0,,
7372.0,,
7373.0,,
7374.0,AT,RJ
7375.0,,
7376.0,CG,UE
7377.0,VI,OR
7378.0,,
7379.0,VI,UE
7380.0,AT,PB
7381.0,VI,OR
7382.0,CG,AP
7383.0,VI,GJ
7384.0,,
7385.0,AT,MH
7386.0,,
7387.0,AT,MH
7388.0,AT,UE
7389.0,AT,MP
7390.0,,
7391.0,,
7392.0,,
7393.0,,
7394.0,,
7395.0,,
7396.0,AT,AP
7397.0,,
7398.0,,
7399.0,,
7400.0,AT,MU
7401.0,,
7402.0,,
7403.0,,
7404.0,,
7405.0,,
7406.0,VI,KA
7407.0,VI,WB
7408.0,VI,UE
7409.0,VI,UW
7410.0,,
7411.0,,
7412.0,,
7413.0,,
7414.0,,
7415.0,,
7416.0,,
7417.0,,
7418.0,,
7419.0,RJ,HR
7420.0,,
7421.0,,
7422.0,,
7423.0,,
7424.0,,
7425.0,,
7426.0,,
7427.0,VI,WB
7428.0,,
7429.0,,
7430.0,,
7431.0,,
7432.0,,
7433.0,,
7434.0,,
7435.0,,
7436.0,,
7437.0,,
7438.0,,
7439.0,,
7440.0,,
7441.0,,
7442.0,,
7443.0,,
7444.0,,
7445.0,,
7446.0,,
7447.0,,
7448.0,,
7449.0,VI,KO
7450.0,VI,KO
7451.0,,
7452.0,,
7453.0,,
7454.0,,
7455.0,,
7456.0,,
7457.0,,
7458.0,,
7459.0,,
7460.0,,
7461.0,,
7462.0,,
7463.0,AT,BR
7464.0,,
7465.0,,
7466.0,,
7467.0,,
7468.0,,
7469.0,,
7470.0,,
7471.0,,
7472.0,,
7473.0,,
7474.0,VI,GJ
7475.0,,
7476.0,,
7477.0,,
7478.0,,
7479.0,,
7480.0,,
7481.0,,
7482.0,,
7483.0,RJ,KA
7484.0,,
7485.0,,
7486.0,,
7487.0,,
7488.0,RJ,BR
7489.0,,
7490.0,AT,GJ
7491.0,VI,BR
7492.0,,
7493.0,VI,BR
7494.0,VI,BR
7495.0,,
7496.0,,
7497.0,,
7498.0,,
7499.0,,
7500.0,VI,UW
7501.0,,
7502.0,,
7503.0,,
7504.0,,
7505.0,,
7506.0,VI,MU
7507.0,VI,MH
7508.0,VI,PB
7509.0,,
7510.0,VI,KL
7511.0,,
7512.0,,
7513.0,,
7514.0,,
7515.0,,
7516.0,,
7517.0,VI,MH
7518.0,AT,UE
7519.0,,
7520.0,VI,BR
7521.0,,
7522.0,,
7523.0,,
7524.0,,
7525.0,,
7526.0,,
7527.0,,
7528.0,,
7529.0,,
7530.0,,
7531.0,,
7532.0,,
7533.0,,
7534.0,VI,UP
7535.0,,
7536.0,,
7537.0,,
7538.0,,
7539.0,,
7540.0,AT,TN
7541.0,,
7542.0,,
7543.0,AT,BR
7544.0,VI,BR
7545.0,VI,BR
7546.0,VI,BR
7547.0,VI,BR
7548.0,,
7549.0,VI,BR
7550.0,,
7551.0,,
7552.0,,
7553.0,,
7554.0,,
7555.0,,
7556.0,,
7557.0,VI,BR
7558.0,,
7559.0,VI,KL
7560.0,,
7561.0,,
7562.0,VI,BR
7563.0,VI,BR
7564.0,VI,BR
7565.0,,
7566.0,VI,MP
7567.0,VI,GJ
7568.0,AT,RJ
7569.0,,
7570.0,VI,UE
7571.0,,
7572.0,,
7573.0,,
7574.0,,
7575.0,VI,GJ
7576.0,,
7577.0,VI,AS
7578.0,,
7579.0,CG,UW
7580.0,,
7581.0,,
7582.0,,
7583.0,,
7584.0,,
7585.0,AT,WB
7586.0,,
7587.0,CG,MP
7588.0,CG,MH
7589.0,CG,PB
7590.0,,
7591.0,,
7592.0,VI,KL
7593.0,,
7594.0,VI,KL
7595.0,,
7596.0,,
7597.0,CG,RJ
7598.0,CG,TN
7599.0,CG,UW
7600.0,VI,GJ
7601.0,,
7602.0,AT,WB
7603.0,,
7604.0,RJ,TN
7605.0,,
7606.0,,
7607.0,AT,UE
7608.0,,
7609.0,VI,UW
7610.0,,
7611.0,,
7612.0,,
7613.0,,
7614.0,,
7615.0,,
7616.0,,
7617.0,VI,MP
7618.0,,
7619.0,AT,KA
7620.0,,
7621.0,,
7622.0,,
7623.0,,
7624.0,AT,KA
7625.0,AT,KA
7626.0,,
7627.0,,
7628.0,,
7629.0,,
7630.0,,
7631.0,VI,BR
7632.0,,
7633.0,,
7634.0,,
7635.0,,
7636.0,AT,AS
7637.0,,
7638.0,,
7639.0,VI,TN
7640.0,,
7641.0,,
7642.0,,
7643.0,,
7644.0,,
7645.0,,
7646.0,,
7647.0,,
7648.0,,
7649.0,,
7650.0,,
7651.0,,
7652.0,,
7653.0,,
7654.0,VI,BR
7655.0,,
7656.0,,
7657.0,,
7658.0,VI,AP
7659.0,VI,AP
7660.0,,
7661.0,,
7662.0,,
7663.0,,
7664.0,,
7665.0,VI,RJ
7666.0,RJ,MH
7667.0,RJ,BR
7668.0,RJ,UE
7669.0,VI,DL
7670.0,,
7671.0,RJ,AP
7672.0,,
7673.0,,
7674.0,,
7675.0,AT,AP
7676.0,RJ,KA
7677.0,,
7678.0,RJ,DL
7679.0,,
7680.0,,
7681.0,,
7682.0,,
7683.0,,
7684.0,,
7685.0,,
7686.0,,
7687.0,,
7688.0,,
7689.0,,
7690.0,VI,RJ
7691.0,,
7692.0,,
7693.0,,
7694.0,,
7695.0,,
7696.0,AT,PB
7697.0,VI,MP
7698.0,VI,GJ
7699.0,VI,WB
7700.0,AT,BR
7701.0,RJ,DL
7702.0,AT,AP
7703.0,RJ,DL
7704.0,,
7705.0,,
7706.0,,
7707.0,VI,BR
7708.0,AT,TN
7709.0,AT,MH
7710.0,AT,MU
7711.0,,
7712.0,,
7713.0,,
7714.0,,
7715.0,,
7716.0,,
7717.0,RJ,BR
7718.0,AT,MU
7719.0,VI,MH
7720.0,VI,MH
7721.0,VI,MH
7722.0,,
7723.0,,
7724.0,,
7725.0,,
7726.0,,
7727.0,AT,RJ
7728.0,,
7729.0,,
7730.0,,
7731.0,VI,AP
7732.0,,
7733.0,,
7734.0,,
7735.0,,
7736.0,AT,KL
7737.0,AT,RJ
7738.0,AT,MU
7739.0,AT,BR
7740.0,,
7741.0,VI,MH
7742.0,AT,RJ
7743.0,,
7744.0,,
7745.0,VI,MH
7746.0,,
7747.0,,
7748.0,,
7749.0,,
7750.0,,
7751.0,,
7752.0,,
7753.0,,
7754.0,AT,UE
7755.0,AT,UE
7756.0,AT,MH
7757.0,AT,MH
7758.0,,
7759.0,,
7760.0,AT,KA
7761.0,,
7762.0,AT,BR
7763.0,AT,BR
7764.0,AT,BR
7765.0,,
7766.0,,
7767.0,VI,MH
7768.0,VI,MH
7769.0,,
7770.0,VI,MH
7771.0,,
7772.0,,
7773.0,,
7774.0,VI,MH
7775.0,VI,MH
7776.0,,
7777.0,,
7778.0,,
7779.0,,
7780.0,VI,BR
7781.0,,
7782.0,,
7783.0,,
7784.0,,
7785.0,,
7786.0,,
7787.0,,
7788.0,VI,AP
7789.0,,
7790.0,,
7791.0,,
7792.0,,
7793.0,,
7794.0,,
7795.0,,
7796.0,,
7797.0,VI,WB
7798.0,VI,MH
7799.0,VI,AP
,,
7800.0,VI,UE
7801.0,,
7802.0,,
7803.0,,
7804.0,,
7805.0,,
7806.0,,
7807.0,AT,HP
7808.0,VI,BR
7809.0,,
7810.0,,
7811.0,,
7812.0,,
7813.0,,
7814.0,,
7815.0,,
7816.0,,
7817.0,,
7818.0,,
7819.0,,
7820.0,,
7821.0,,
7822.0,,
7823.0,,
7824.0,,
7825.0,,
7826.0,,
7827.0,RJ,DL
7828.0,,
7829.0,VI,KA
7830.0,VI,UW
7831.0,,
7832.0,,
7833.0,VI,HP
7834.0,VI,DL
7835.0,VI,DL
7836.0,VI,DL
7837.0,VI,PB
7838.0,VI,DL
7839.0,CG,UE
7840.0,VI,DL
7841.0,,
7842.0,,
7843.0,,
7844.0,,
7845.0,,
7846.0,,
7847.0,,
7848.0,,
7849.0,,
7850.0,,
7851.0,,
7852.0,,
7853.0,,
7854.0,,
7855.0,,
7856.0,,
7857.0,,
7858.0,,
7859.0,,
7860.0,VI,UE
7861.0,,
7862.0,,
7863.0,,
7864.0,,
7865.0,,
7866.0,,
7867.0,,
7868.0,,
7869.0,AT,MP
7870.0,AT,BR
7871.0,RJ,TN
7872.0,VI,WB
7873.0,VI,OR
7874.0,VI,GJ
7875.0,VI,MH
7876.0,RJ,HP
7877.0,RJ,RJ
7878.0,RJ,RJ
7879.0,RJ,WB
7880.0,AT,UE
7881.0,,
7882.0,,
7883.0,,
7884.0,,
7885.0,,
7886.0,,
7887.0,VI,MH
7888.0,RJ,PB
7889.0,RJ,JK
7890.0,VI,KO
7891.0,VI,RJ
7892.0,RJ,KA
7893.0,AT,AP
7894.0,AT,OR
7895.0,AT,UW
7896.0,AT,AS
7897.0,AT,UE
7898.0,AT,MP
7899.0,AT,KA
7900.0,,
7901.0,,
7902.0,,
7903.0,CG,AP
7904.0,VI,KL
7905.0,RJ,BR
7906.0,RJ,TN
7907.0,RJ,UE
7908.0,RJ,UW
7909.0,RJ,KL
7910.0,RJ,WB
7911.0,,
7912.0,,
7913.0,,
7914.0,,
7915.0,,
7916.0,,
7917.0,,
7918.0,,
7919.0,,
7920.0,,
7921.0,,
7922.0,,
7923.0,,
7924.0,,
7925.0,,
7926.0,,
7927.0,,
7928.0,,
7929.0,,
7930.0,,
7931.0,,
7932.0,,
7933.0,,
7934.0,,
7935.0,,
7936.0,,
7937.0,,
7938.0,,
7939.0,,
7940.0,,
7941.0,,
7942.0,,
7943.0,,
7944.0,,
7945.0,,
7946.0,,
7947.0,,
7948.0,,
7949.0,,
7950.0,,
7951.0,,
7952.0,,
7953.0,,
7954.0,,
7955.0,,
7956.0,,
7957.0,,
7958.0,,
7959.0,,
7960.0,,
7961.0,,
7962.0,,
7963.0,,
7964.0,,
7965.0,,
7966.0,,
7967.0,,
7968.0,,
7969.0,,
7970.0,,
7971.0,,
7972.0,,
7973.0,,
7974.0,RJ,MH
7975.0,RJ,PB
7976.0,RJ,MP
7977.0,RJ,KA
7978.0,RJ,RJ
7979.0,RJ,MU
7980.0,RJ,OR
7981.0,RJ,BR
7982.0,RJ,KO
7983.0,RJ,AP
7984.0,RJ,DL
7985.0,RJ,UW
7986.0,RJ,GJ
7987.0,RJ,UE
7988.0,RJ,PB
7989.0,RJ,MP
7990.0,RJ,HR
7991.0,RJ,AP
7992.0,RJ,GJ
7993.0,RJ,BR
7994.0,RJ,BR
7995.0,,AP
7996.0,AT,KL
7997.0,AT,AP
7998.0,VI,KA
7999.0,VI,AP
,,
,RJ,MP
6014,,
6015,,
6016,,
6017,,
6018,,
6019,,
6020,,
6021,,
6022,,
6023,,
6024,,
6025,,
6026,,
6027,,
6028,,
6029,,
6030,,
6031,,
6032,,
6033,,
6034,,
6035,,
6036,,
6037,,
6038,,
6039,,
6040,,
6041,,
6042,,
6043,,
6044,,
6045,,
6046,,
6047,,
6048,,
6049,,
6050,,
6051,,
6052,,
6053,,
6054,,
6055,,
6056,,
6057,,
6058,,
6059,,
6060,,
6061,,
6062,,
6063,,
6064,,
6065,,
6066,,
6067,,
6068,,
6069,,
6070,,
6071,,
6072,,
6073,,
6074,,
6075,,
6076,,
6077,,
6078,,
6079,,
6080,,
6081,,
6082,,
6083,,
6084,,
6085,,
6086,,
6087,,
6088,,
6089,,
6090,,
6091,,
6092,,
6093,,
6094,,
6095,,
6096,,
6097,,
6098,,
6099,,
6100,,
6101,,
6102,,
6103,,
6104,,
6105,,
6106,,
6107,,
6108,,
6109,AP,
6110,,
6111,,
6112,,
6113,,
6114,,
6115,,
6116,,
6117,,
6118,,
6119,,
6120,,
6121,,
6122,,
6123,,
6124,,
6125,,
6126,,
6127,,
6128,,
6129,,
6130,,
6131,,
6132,,
6133,,
6134,,
6135,,
6136,,
6137,,
6138,,
6139,,
6140,,
6141,,
6142,,
6143,,
6144,,
6145,,
6146,,
6147,,
6148,,
6149,,
6150,,
6151,,
6152,,
6153,,
6154,,
6155,,
6156,,
6157,,
6158,,
6159,,
6160,,
6161,,
6162,,
6163,,
6164,,
6165,,
6166,,
6167,,
6168,,
6169,,
6170,,
6171,,
6172,,
6173,,
6174,,
6175,,
6176,,
6177,,
6178,,
6179,,
6180,,
6181,,
6182,,
6183,,
6184,,
6185,,
6186,,
6187,,
6188,,
6189,,
6190,,
6191,,
6192,,
6193,,
6194,,
6195,,
6196,,
6197,,
6198,,
6199,,
6200,,
6201,,
6202,RJ,BR
6203,RJ,BR
6204,RJ,BR
6205,RJ,BR
6206,RJ,BR
6207,RJ,BR
6208,,
6209,AT,BR
6210,,
6211,,
6212,,
6213,,
6214,,
6215,,
6216,,
6217,,
6218,,
6219,,
6220,,
6221,,
6222,,
6223,,
6224,,
6225,,
6226,,
6227,,
6228,,
6229,,
6230,AT,DL
6231,,
6232,AT,MP
6233,,
6234,,
6235,VI,KL
6236,,
6237,,
6238,RJ,KL
6239,,
6240,,
6241,,
6242,,
6243,,
6244,,
6245,,
6246,,
6247,,
6248,,
6249,,
6250,,
6251,,
6252,,
6253,,
6254,,
6255,,
6256,,
6257,,
6258,,
6259,,
6260,RJ,MP
6261,RJ,MP
6262,VI,MP
6263,RJ,MP
6264,RJ,MP
6265,RJ,MP
6266,RJ,MP
6267,RJ,MP
6268,RJ,MP
6269,VI,MP
6270,,
6271,,
6272,,
6273,,
6274,,
6275,,
6276,,
6277,,
6278,,
6279,,
6280,RJ,PB
6281,,
6282,RJ,KL
6283,RJ,PB
6284,RJ,PB
6285,,
6286,,
6287,AT,BR
6288,,
6289,,
6290,RJ,KO
6291,RJ,KO
6292,,
6293,,
6294,,
6295,,
6296,,
6297,,
6298,,
6299,,
6300,,
6301,,
6302,,
6303,RJ,AP
6304,RJ,AP
6305,RJ,AP
6306,RJ,AP
6307,,
6308,RJ,UE
6309,RJ,UE
6310,,
6311,,
6312,,
6313,,
6314,,
6315,,
6316,,
6317,,
6318,,
6319,,
6320,,
6321,,
6322,,
6323,,
6324,,
6325,,
6326,,
6327,,
6328,,
6329,,
6330,,
6331,,
6332,,
6333,,
6334,,
6335,,
6336,,
6337,,
6338,,
6339,,
6340,,
6341,,
6342,,
6343,,
6344,,
6345,,
6346,,
6347,,
6348,,
6349,,
6350,,
6351,,
6352,,
6353,RJ,GJ
6354,RJ,GJ
6355,,
6356,RJ,GJ
6357,RJ,GJ
6358,,
6359,,
6360,,
6361,VI,GJ
6362,RJ,KA
6363,RJ,KA
6364,RJ,KA
6365,RJ,KA
6366,AT,KA
6367,,
6368,AT,KA
6369,RJ,RJ
6370,,
6371,,
6372,RJ,OR
6373,RJ,OR
6374,RJ,OR
6375,,
6376,RJ,TN
6377,RJ,RJ
6378,RJ,RJ
6379,RJ,RJ
6380,RJ,RJ
6381,,
6382,RJ,TN
6383,RJ,TN
6384,RJ,TN
6385,RJ,TN
6386,,
6387,AT,TN
6388,RJ,UE
6389,RJ,UE
6390,RJ,UE
6391,VI,UE
6392,,
6393,VI,UE
